customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code
8f625c8d-b3fc-4c91-b8da-146c48475a9f,Melissa,Burnett,crystal30@example.com,237-780-0843,074 Christopher Wall,West Michaelborough,MO,18178
1003ddd6-63c9-4fc4-8cbc-e59a0036801b,Meghan,Holmes,kcastaneda@example.org,001-349-879-6759x1942,6675 Melissa Parks,Martinport,DE,14057
8bc831dd-3f33-45f6-afaf-538e629cc4cb,Christopher,Perry,bartlettmichael@example.org,+1-456-831-0870,704 Aguilar Causeway,Brandonton,MH,94435
956a6cb1-784a-49a6-b69f-fc00437625e7,Matthew,Bradley,david52@example.net,424.989.0692x98222,475 Lynn Trafficway,Cherylberg,PR,71281
caab9b62-81b5-4717-be3a-5fb43ec63cc5,Caitlin,Baldwin,kevin15@example.org,001-959-220-4805x141,8028 Thomas Forks,South Elizabethhaven,TX,72278
dd9a5d61-1a1d-41fa-aee9-6bfc4fb3b3d4,James,Daniels,conniewhite@example.com,321-343-2920x96576,56254 Peters Mall Suite 165,South Alexander,OR,77133
b879d633-5528-4126-b70d-6fb2e4ffb33c,Ronald,Ramirez,daniellehill@example.com,9349431974,504 Jill Trail,South Diane,ID,14575
53cfb05d-2315-470a-97a4-bf0076e93d04,Amanda,Brown,brenda52@example.com,620-637-9306,77501 Jennifer Glens Apt. 372,North Michellechester,LA,90853
b4aa888d-a47e-4513-82dc-d068d4af9d9d,Kelli,Moore,xwilson@example.org,688.499.7231,952 Christopher Isle,Mosleystad,MA,29561
c6953e68-0207-484d-9434-7ca61913c899,Andrew,Hill,yross@example.com,353.303.7088x079,295 Pena Manors Suite 336,Tinafurt,MD,98398
48270c79-69e7-4ae0-a88a-94737411a90a,Robyn,Elliott,nathaniel34@example.com,001-599-809-2127x603,1248 Johnny Mountain Apt. 120,Colebury,RI,35494
509e3bb9-6c72-47ae-a2fa-220867c4f0e5,Caroline,Smith,kathleenmurphy@example.net,(368)292-6171,460 Murphy Key Suite 199,South Ronaldfort,NV,12497
cfcee141-fbd9-4315-b2dc-d675bee4354f,Sylvia,Hayes,ballardjames@example.net,+1-771-339-3739x33042,4744 Greer Vista Suite 296,West Joseph,NC,39649
e84b1a9a-47f0-48f9-bd24-b7f327b67c75,Martha,Williamson,cgarcia@example.net,001-730-678-4731x6587,47281 Smith Loop,Oliviaberg,OK,68652
59b556cd-4cb0-42ec-9f44-d4ec5ae2f9d2,Leslie,Gardner,dlang@example.net,2265599146,358 Casey Street Suite 266,Lake Anthony,OK,89179
9d9065f7-39fa-46d6-b4ce-82d9b6185ce3,Joel,Sweeney,josborne@example.com,001-592-659-6284x745,79686 Teresa Trail,Crawfordview,NV,85470
ee561a36-d2fb-49ef-9ddb-a612472b95b3,James,Cole,smcintosh@example.org,577.598.5019,53850 Romero Knoll,Montgomerymouth,PW,36195
fdc733e7-26b0-4350-8649-2e13156793df,Sarah,Bates,yprice@example.com,519.275.0960x85755,17605 Tyler Fields Suite 859,Juliemouth,VT,32361
b73cad20-e860-4698-ab6a-6905bfb87cc0,Larry,Gonzales,denisegibbs@example.com,(364)857-1504,90671 Chris Lakes,Loganchester,MP,73309
277b583d-5624-4f79-909b-1ef8a561d848,Randy,Ross,michaeljohnson@example.com,434-433-2227x7545,200 Kristen Villages Suite 763,Lake Selena,MI,44999
d8e152c5-0bba-4ef0-a1c9-676931718098,Jason,Owens,sanderssummer@example.net,322-777-6621,414 Gregory Land Apt. 133,Lake Katherine,CT,79860
fba6ded3-517e-4256-802a-e45d35c77934,Melinda,Perry,randall17@example.net,(423)422-5222x0475,60795 Browning Club Suite 224,South Michelleshire,OH,76021
302903c7-770d-418e-9cfe-7f49e749b466,Jose,King,matthew30@example.net,7064190621,6328 Hughes Cape Suite 218,Elizabethfort,VT,51619
db9f8b9c-3da3-471e-96b4-2e406fb6e038,Felicia,Davis,brandon06@example.org,001-666-271-4073,40513 Brown Lodge,South Laura,HI,76468
293fea60-de9f-47b4-9b7c-168709283aff,Donald,Williams,vegajacqueline@example.org,001-782-560-0832x82779,6804 Wendy Haven,Zavalaside,CT,48027
21a72690-98e5-426b-af48-492fcdcca498,Vincent,Massey,martinerin@example.org,791.876.7079,0489 Michelle Station,New Charlesberg,FL,62230
e1320247-067f-4288-942f-a02b195f6959,Kevin,Glenn,palmerjames@example.com,279-510-4237x60545,625 Edward Groves Apt. 258,West Cameronland,IA,47594
528e17d7-fc4c-4874-9168-2bda73d6d3ba,Jennifer,Jones,mooreandre@example.com,728-875-0891,2253 Nichols Road,East Jennifermouth,OH,93024
41764b89-45f0-42da-a43d-c4f774a84eb6,Scott,Williams,umckenzie@example.net,4188371516,2235 Ortega Fields Suite 683,South Douglasland,MD,87993
c38e6099-9a1f-4ee2-8a28-5358cb58cea7,Raymond,Soto,cmorales@example.com,490.372.1457x4973,592 Trevor Land Apt. 541,Port Veronica,WY,10332
6071d25b-6132-4689-8063-f923a7f000d2,Robert,Pittman,jamespatterson@example.org,4889338499,265 Johnson Dale,West Kimberly,NC,64900
9f7f8fd4-820a-44f9-b758-11637e9a24dd,Hannah,Walsh,blakecampbell@example.net,+1-876-946-8568x711,44115 Patrick Vista Suite 241,Lauramouth,NY,15137
2c11b96c-f2e2-4f89-90c0-0b672e8a6c4c,Donald,Martinez,holtnatasha@example.org,537-555-6362x578,81641 Jonathan Row,New Melissa,WY,94198
0b5df0d1-1c01-4b2b-b6b0-51085f18a258,Justin,Bishop,frank47@example.net,+1-581-905-2031x27552,544 Alexander Tunnel Suite 966,Kimberlymouth,NM,27162
74ead9de-4f55-46e3-8eb1-33975fb830db,Jessica,Shah,handerson@example.com,(273)887-3236x5008,427 Victoria Haven,Josephville,NV,89151
1b2f400e-0400-4bbd-9c39-43209d1ea38e,Martha,White,zflores@example.net,001-662-618-2436,59830 Howard Valleys,North Valerie,GU,02290
